abandon	vt.丢弃；放弃，抛弃
aboard	ad.在船(车)上；上船
absolute	a.绝对的；纯粹的
absolutely	ad.完全地；绝对地
absorb	vt.吸收；使专心
abstract	n.摘要
abundant	a.丰富的；大量的
abuse	vt.滥用；虐待n.滥用
academic	a.学院的；学术的
accelerate	vt.(使)加快；促进
access	n.接近；通道，入口
accidental	a.偶然的；非本质的
accommodate	vt.容纳；供应，供给
accommodation	n.招待设备；预定铺位
accompany	vt.陪伴，陪同；伴随
accomplish	vt.达到(目的)；完成
accordance	n.一致；和谐；授予
accordingly	ad.因此，所以；照着
account	n.记述；解释；帐目
accumulate	vt.积累vi.堆积
accuracy	n.准确(性)；准确度
accurate	a.准确的，正确无误的
accustomed	a.惯常的；习惯的
acid	n.酸；酸的，酸性的
acquaintance	n.认识；了解；熟人
acquire	vt.取得；获得；学到
acre	n.英亩(=6.07亩)
adapt	vt.使适应；改编
addition	n.加，加法；附加物
additional	a.附加的，追加的
address	n.地址；演说；谈吐
adequate	a.足够的；可以胜任的
adjust	vt.调整，调节；校正
administration	n.管理；管理部门
admission	n.允许进入；承认
admit	vt.承认；准许…进入
advance	vi.前进；提高n.进展
advanced	a.先进的；高级的
adventure	n.冒险；惊险活动
advisable	n.明智的；可取的
affair	n.事情，事件；事务
affect	vt.影响；感动
affection	n.慈爱，爱；爱慕
afford	vt.担负得起…；提供
afterward	ad.后来，以后
age	vt.变老
aggressive	a.侵略的；好斗的
aircraft	n.飞机，飞行器
alarm	n.惊恐，忧虑；警报
alcohol	n.酒精，乙醇
alike	a.同样的，相同的
alloy	n.合金；(金属的)成色
alphabet	n.字母表，字母系统
alter	vt.改变，变更；改做
alternative	n.替换物；取舍，抉择
altitude	n.高，高度；高处
aluminium	n.铝
amaze	vt.使惊奇，使惊愕
ambulance	n.救护车；野战医院
amongst	prep在…之中(=among)
amuse	vt.逗…乐；给…娱乐
analyse	vt.分析，分解，解析
analysis	n.分析，分解，解析
ancestor	n.祖宗，祖先
anchor	n.锚vi.抛锚，停泊
ancient	a.古代的，古老的
ankle	n.踝，踝节部
announce	vt.宣布，宣告，发表
annoy	vt.使恼怒；打搅
annual	a.每年的n.年报
anticipate	vt.预料，预期，期望
anxiety	n.焦虑，忧虑；渴望
anxious	a.忧虑的；渴望的
apart	ad.相隔；分开；除去
apologize	vi.道歉，谢罪，认错
apparatus	n.器械，仪器；器官
appeal	vi.&n.呼吁；申述
appetite	n.食欲，胃口；欲望
appliance	n.用具，器具，器械
applicable	a.能应用的；适当的
application	n.请求，申请；施用
appoint	vt.任命，委任；约定
appreciate	vt.欣赏；领会；感谢
approval	n.赞成，同意；批准
approve	vt.赞成，称许；批准
approximate	a.近似的vt.近似
arbitrary	a.随心所欲的；专断的
architecture	n.建筑学；建筑式样
argue	vi.争论，争辩，辩论
argument	n.争论，辩论；理由
arise	vi.出现；由…引起
arithmetic	n.算术，四则运算
arouse	vt.引起，唤起；唤醒
article	n.条款；物品
artificial	a.人工的；娇揉造作的
artistic	a.艺术的；艺术家的
ash	n.灰，灰末；骨灰
ashamed	a.惭愧(的)；羞耻(的)
aspect	n.方面；样子，外表
assemble	vt.集合，召集；装配
assembly	n.集合；集会；装配
assess	vt.对(财产等)估价
assign	vt.指派；分配；指定
assist	vt.援助，帮助；搀扶
assistance	n.协助,援助
associate	vi.交往n.伙伴，同事
association	n.协会，团体；联合
assume	vt.假定；承担；呈现
assure	vt.使确信；向…保证
astonish	vt.使惊讶，使吃惊
astronaut	n.宇宙航行员，宇航员
Atlantic	a.大西洋的n.大西洋
atom	n.原子；微粒；微量
atomic	a.原子的；原子能的
attach	vt.缚，系，贴；附加
attain	vt.达到，获得，完成
attempt	vt.尝试，试图n.企图
attend	vt.出席；照顾，护理
attribute	vt.把…归因于n.属性
audience	n.听众，观众，读者
authority	n.当局，官方；权力
automatic	a.自动的；机械的
automobile	n.汽车，机动车
auxiliary	a.辅助的；附属的
available	a.可利用的；通用的
avenue	n.林荫道，道路；大街
await	vt.等候，期待
awake	a.醒着的vt.唤醒
award	n.奖，奖品；判定
aware	a.知道的，意识到的
awful	a.令人不愉快的
awkward	a.笨拙的；尴尬的
ax	n.斧子
background	n.背景，后景，经历
backward	a.向后的；倒的ad.倒
bacteria	n.细菌
baggage	n.行李
bake	vt.烤，烘，焙；烧硬
balance	vt.使平衡；称n.天平
ball	n.球，球状物；舞会
balloon	n.气球，玩具气球
banana	n.香蕉；芭蕉属植物
band	n.乐队；带；波段
bang	n.巨响，枪声；猛击
bank	n.银行；库；岩，堤
bar	n.酒吧间；条，杆；栅
barber	n.理发师
bare	a.赤裸的；仅仅的
bargain	n.交易vi.议价；成交
barrel	n.桶；圆筒；枪管
barrier	n.栅栏，屏障；障碍
base	n.基础，底层；基地
basic	a.基本的，基础的
basically	ad.基本上
basin	n.盆，洗脸盆；盆地
basis	n.基础，根据
basket	n.篮，篓，筐
basketball	n.篮球；篮球运动
bath	n.浴，洗澡；浴缸
bathe	vt.给…洗澡；弄湿
bathroom	n.浴室；盥洗室
battery	n.电池；一套，一组
battle	n.战役；斗争vi.作战
bay	n.湾；山脉中的凹处
be	aux.v.&vi.是，在，做
beach	n.海滩，湖滩，河滩
beam	n.梁；横梁；束，柱
bean	n.豆，蚕豆
bear	n.熊；粗鲁的人;vt.容忍；负担；生育
beard	n.胡须，络腮胡子
beast	n.兽，野兽；牲畜
beat	vt.&vi.打，敲；打败
beautiful	a.美的，美丽的
beauty	n.美，美丽；美人
because	conj.由于，因为
become	vi.变成；成为，变得
bed	n.床，床位；圃；河床
bee	n.蜂，蜜蜂；忙碌的人
beef	n.牛肉；菜牛
beer	n.啤酒
before	prep.在…以前；向…
beg	vt.&vi.乞求；请求
begin	vi.开始vt.开始
beginning	n.开始，开端；起源
behalf	n.利益，维护，支持
behave	vi.表现，举止；运转
behavior	n.行为，举止，态度
behind	prep.在…后面
being	n.存在；生物；生命
belief	n.信任，相信；信念
believe	vt.相信；认为
bell	n.钟，铃，门铃；钟声
belong	vi.属于，附属
below	prep.在…下面(以下)
belt	n.带，腰带；皮带；区
bench	n.长凳，条凳；工作台
bend	vt.使弯曲vi.弯曲
beneath	prep.在…下方
beneficial	a.有利的，有益的
benefit	n.利益；恩惠；津贴
beside	prep.在…旁边
besides	ad.而且prep.除…之外
best	a.最好的；最大的
bet	vt.&vi.&n.打赌
better	a.较好的ad.更好地
between	prep.在…中间
beyond	prep.在…的那边
Bible	n.基督教《圣经》
bicycle	n.自行车，脚踏车
big	a.大的，巨大的
bike	n.自行车vi.骑自行车
bill	n.账单；招贴；票据
billion	num.万亿(英)
bind	vt.捆绑；包扎；装钉
biology	n.生物学；生态学
bird	n.鸟，禽
birth	n.分娩，出生；出身
birthday	n.生日，诞生的日期
biscuit	n.(英)饼干；(美)软饼
bit	n.一点，一些，小片
bite	vt.咬，叮，螫；剌穿
bitter	a.痛苦的；严寒的
black	a.黑色的；黑暗的
blackboard	n.黑板
blade	n.刀刃，刀片；叶片
blame	vt.责备，把…归咎于
blank	a.空白的n.空白
blanket	n.毛毯，毯子，羊毛毯
blast	n.爆炸，冲击波vt.炸
bleed	vi.出血，流血；泌脂
blend	vt.&vi.&n.混合
blind	a.瞎的；盲目的
block	n.街区vt.堵塞，拦阻
blood	n.血，血液；血统
bloom	n.花；开花，开花期
blow	vi.吹，吹动；吹响
blue	a.蓝色的n.蓝色
board	n.板vt.上(船、车等)
boast	vi.自夸vt.吹嘘
boat	n.小船，艇；渔船
body	n.身体；主体；尸体
boil	vi.沸腾；汽化vt.煮沸
bold	a.大胆的；冒失的
bolt	n.螺栓；插销vt.闩门
bomb	n.炸弹vt.轰炸
bond	n.联结，联系；公债
bone	n.骨，骨骼
book	n.书，书籍vt.预定
boot	n.靴子，长筒靴
border	n.边，边缘；边界
bore	vt.使厌烦；钻，挖
born	a.天生的；出生的
borrow	vt.借，借用，借人
boss	n.老板，上司vt.指挥
both	pron.两者(都)
bother	vt.烦扰，迷惑n.麻烦
bottle	n.瓶，酒瓶；一瓶
bottom	n.底，底部，根基
bounce	vi.反跳，弹起；跳起
bound	a.一定的；有义务的
boundary	n.分界线
bow	n.弓；蝴蝶结；鞠躬
bowl	n.碗，钵；碗状物
box	vi.拳击，打拳
brain	n.脑，脑髓；脑力
brake	n.闸，刹车vi.制动
branch	n.树枝；分部；分科
brand	n.商品；烙印vt.铭刻
brass	n.黄铜；黄铜器
brave	a.勇敢的，华丽的
bread	n.面包；食物，粮食
breadth	n.宽度，幅度；幅面
break	vt.打破；损坏；破坏
breakfast	n.早饭，早餐
breast	n.乳房；胸脯，胸膛
breath	n.气息，呼吸；气味
breathe	vi.呼吸vt.呼吸
breed	n.品种vt.使繁殖
breeze	n.微风，和风
brick	n.砖，砖块；砖状物
bride	n.新娘
bridge	n.桥，桥梁；桥牌
brief	a.简短的；短暂的
bright	a.明亮的；聪明的
brilliant	a.光辉的；卓越的
bring	vt.带来；引出；促使
British	a.不列颠的，英联邦的
broad	a.宽的，阔的；广泛的
broadcast	n.广播，播音
brother	n.兄弟；同事，同胞
brow	n.额；眉，眉毛
brown	n.褐色，棕色
brush	n.刷子，毛刷；画笔
bubble	n.泡vi.冒泡，沸腾
bucket	n.水桶；吊桶；铲斗
build	vt.建筑；建立；创立
building	n.建筑物，大楼；建筑
bulb	n.电灯泡；球状物
bulk	n.物体，容积，大批
bullet	n.枪弹，子弹，弹丸
bundle	n.捆，包，束；包袱
burden	n.担子，重担；装载量
bureau	n.局，司，处；社，所
burn	vi.烧，燃烧n.烧伤
burst	vt.使爆裂vi.&n.爆炸
bury	vt.埋葬，葬；埋藏
bus	n.公共汽车
bush	n.灌木，灌木丛，矮树
business	n.商业，生意；事务
busy	a.忙的，繁忙的
but	conj.但是，可是
butter	n.黄油；奶油
button	n.扣子；按钮vt.扣紧
buy	vt.买，购买vi.买
by	prep.在…旁；被，由
cabbage	n.洋白菜，卷心菜
cabin	n.小屋；船舱，机舱
cabinet	n.橱，柜；内阁
cable	n.缆，索；电缆；电报
cafe	n.咖啡馆；小餐厅
cage	n.笼；鸟笼，囚笼
cake	n.饼，糕，蛋糕
calculate	vt.计算；估计；计划
calculator	n.计算器，计算者
calendar	n.日历，历书；历法
call	vt.把…叫做；叫，喊
calm	a.静的，平静的
camel	n.骆驼
camera	n.照相机，摄影机
camp	n.野营，营地，兵营
campaign	n.战役；运动
campus	n.校园，学校场地
can	aux.v.能，会，可能;n.罐头；容器
Canadian	a.加拿大的
canal	n.运河；沟渠；管
cancel	vt.取消，撤消；删去
cancer	n.癌，癌症，肿瘤
candidate	n.候选人；投考者
candle	n.蜡烛；烛形物；烛光
cap	n.帽子，便帽；帽状物
capable	a.有能力的，有才能的
capacity	n.容量；能力；能量
capital	n.资本，资金；首都
captain	n.陆军上尉；队长
capture	vt.捕获，俘获；夺得
car	n.汽车，小汽车，轿车
carbon	n.碳
card	n.卡，卡片，名片
care	vi.关心，介意n.小心
career	n.生涯，职业，经历
careful	a.仔细的；细致的
careless	a.粗心的，漫不经心的
cargo	n.船货，货物
carpenter	n.木工，木匠
carpet	n.地毯，毡毯，毛毯
carriage	n.客车厢；四轮马车
carrier	n.运输工具；运载工具
carry	vt.携带；运载；传送
cart	n.二轮运货马车
case	n.情况；事实；病例;n.箱(子)，盒(子)，套
cash	n.现金，现款
cassette	n.盒式录音带；盒子
cast	vt.投，扔，抛；浇铸
castle	n.城堡；巨大建筑物
casual	a.偶然的；随便的
cat	n.猫，猫科，猫皮
catalog	n.目录，目录册
catch	vt.捉住；赶上；领会
cattle	n.牛；牲口，家畜
cause	n.原因，理由；事业
cave	n.山洞，洞穴，窑洞
cease	vi.&vi.&n.停止，停息
ceiling	n.天花板，顶蓬
celebrate	vt.庆祝；歌颂，赞美
cell	n.细胞；小房间
cement	n.水泥；胶泥vt.粘结
cent	n.分；分币；百
centimetre	n.公分，厘米
central	a.中心的；主要的
centre	n.中心；中枢vt.集中
century	n.世纪，百年
ceremony	n.典礼，仪式；礼节
certain	a.确实的；肯定的
certainly	ad.一定，必定；当然
certificate	n.证书，证件，执照
chain	n.链，链条，项圈
chair	n.椅子；主席
chairman	n.主席；议长，会长
chalk	n.白垩；粉笔
challenge	n.挑战；要求，需要
chamber	n.会议室；房间；腔
champion	n.冠军，得胜者
chance	n.机会，机遇；可能性
change	n.改变，变化；零钱
channel	n.海峡；渠道；频道
chapter	n.章，回，篇
character	n.性格；特性；角色
characteristic	a.特有的n.特性
charge	vt.索价；控告n.费用
chart	n.图，图表；海图
chase	n.追逐，追赶，追求
cheap	a.廉价的；劣质的
cheat	vt.骗取；哄vi.行骗
check	vt.检查；制止n.检查
cheek	n.面颊，脸蛋
cheer	vt.使振作；欢呼
cheerful	a.快乐的，愉快的
cheese	n.乳酪，干酪
chemical	a.化学的n.化学制品
chemist	n.化学家；药剂师
chemistry	n.化学
cheque	n.支票
chess	n.棋；国际象棋
chest	n.胸腔，胸膛；箱子
chew	vt.咀嚼，嚼碎
chicken	n.小鸡，小鸟；鸡肉
chief	a.主要的；首席的
child	n.小孩，儿童；儿子
childhood	n.童年，幼年；早期
chill	vt.使变冷n.寒冷
chimney	n.烟囱，烟筒；玻璃罩
chin	n.颏，下巴
China	n.中国
china	n.瓷器，瓷料
Chinese	a.中国的n.中国人
chocolate	n.巧克力；巧克力糖
choice	n.选择，抉择
choke	vt.使窒息；塞满
choose	vt.选择，挑选；情愿
chop	vt.砍，劈；切细vi.砍
Christian	n.基督教徒；信徒
Christmas	n.圣诞节
church	n.教堂，礼拜堂；教会
cigarette	n.香烟，纸烟，卷烟
cinema	n.电影院；电影，影片
circle	n.圆，圆周；圈子
circuit	n.电路；环行；巡行
circular	a.圆的；循环的
circulate	vt.使循环vi.循环
circumference	n.圆周，周长，圆周线
circumstance	n.情况，条件；境遇
citizen	n.公民；市民，居民
city	n.城市，都市
civil	a.公民的；文职的
civilization	n.文明，文化；开化
civilize	vt.使文明；教育
claim	vt.声称，主张；索取
clap	vi.拍手vt.拍，轻拍
clarify	vt.澄清，阐明
class	n.班，班级；阶级
classical	a.古典的；经典的
classification	n.分类；分级；分类法
classify	vt.把…分类
classmate	n.同班同学
classroom	n.教室，课堂
claw	n.爪，脚爪，螯
clay	n.粘土，泥土；肉体
clean	a.清洁的；纯洁的
clear	a.清晰的vt.清除
clerk	n.店员；办事员，职员
clever	a.聪明的；机敏的
cliff	n.悬崖，峭壁
climate	n.气候；风土，地带
climb	vi.攀登，爬vt.爬
clock	n.钟，仪表
close	vt.关，闭；结束
cloth	n.布；衣料；桌布
clothe	vt.给…穿衣服
clothes	n.衣服，服装；被褥
clothing	n.衣服，被褥
cloud	n.云；云状物；阴影
cloudy	a.多云的；云一般的
club	n.俱乐部，夜总会
clue	n.线索，暗示，提示
clumsy	a.笨拙的；愚笨的
coach	n.长途公共汽车
coal	n.煤，煤块
coarse	a.粗的，粗糙的
coast	n.海岸，海滨(地区)
coat	n.外套，上衣；表皮
cock	n.公鸡；雄禽；旋塞
code	n.准则；法典；代码
coffee	n.咖啡，咖啡茶
coil	n.(一)卷；线圈vt.卷
coin	n.硬币；铸造(硬币)
cold	a.冷的；冷淡的n.冷
collapse	vi.倒坍；崩溃，瓦解
collar	n.衣领，项圈
colleague	n.同事，同僚
collect	vt.收集vi.收款
collection	n.搜集，收集；收藏品
collective	a.集体的；集合性的
college	n.学院；大学
collision	n.碰撞；冲突
colony	n.殖民地；侨居地
